id,name,definition,synonyms
HP:0000077,Abnormality of the kidney,An abnormality of the kidney.,"['Abnormal kidney', 'Abnormality of the kidney', 'Renal anomaly', 'Renal anomalies']"
HP:0000078,Abnormality of the genital system,An abnormality of the genital system.,"['Genital abnormalities', 'Genital abnormality', 'Genital defects', 'Abnormality of the reproductive system', 'Genital anomalies']"
HP:0000079,Abnormality of the urinary system,An abnormality of the urinary system.,"['Urinary tract abnormalities', 'Urinary tract anomalies', 'Urinary tract abnormality']"
HP:0000080,Abnormality of reproductive system physiology,An abnormal functionality of the genital system.,"['Abnormality of genital physiology', 'Abnormality of reproductive system physiology', 'Genital functional abnormality']"
HP:0000081,Duplicated collecting system,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.","['Duplex collecting system', 'Duplicated renal collecting system', 'Double urinary collecting systems on intravenous pyelography', 'Double collecting system']"
HP:0000083,Renal insufficiency,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.","['Renal failure in adulthood', 'Renal failure']"
HP:0000085,Horseshoe kidney,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.,"['Fused kidneys', 'Horseshoe kidneys', 'Horseshoe kidney']"
HP:0000086,Ectopic kidney,A developmental defect in which a kidney is located in an abnormal anatomic position.,"['Abnormal kidney location', 'Ectopic kidneys', 'Renal ectopia', 'Displaced kidney']"
HP:0000089,Renal hypoplasia,Hypoplasia of the kidney.,"['Hypoplastic kidney', 'Hypoplastic kidneys', 'Small kidneys', 'Underdeveloped kidneys']"
HP:0000090,Nephronophthisis,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.,['juvenile nephronophthisis']
HP:0000091,Abnormal renal tubule morphology,An abnormality of the renal tubules.,"['Abnormality of the renal tubule', 'Morphologic abnormality of the renal tubules']"
HP:0000092,Renal tubular atrophy,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.","['Tubular atrophy', 'Renal tubular cell atrophy']"
HP:0000093,Proteinuria,Increased levels of protein in the urine.,"['Protein in urine', 'High urine protein levels']"
HP:0000095,Abnormal renal glomerulus morphology,A structural anomaly of the glomerulus.,"['Morphologic abnormality of the renal glomerulus', 'Abnormality of renal glomerulus morphology']"
HP:0000096,Glomerular sclerosis,Accumulation of scar tissue within the glomerulus.,"['Renal glomerular fibrosis', 'Glomerulosclerosis']"
HP:0000775,Abnormality of the diaphragm,"Any abnormality of the diaphragm, the sheet of skeletal muscle that separates the thoracic cavity from the abdominal cavity.","['Abnormality of the diaphragm', 'Diaphragm issues', 'Diaphragmatic defect']"
HP:0000776,Congenital diaphragmatic hernia,The presence of a hernia of the diaphragm present at birth.,['Diaphragmatic hernia']
HP:0000777,Abnormal thymus morphology,"Abnormality of the thymus, an organ located in the upper anterior portion of the chest cavity just behind the sternum and whose main function is to provide an environment for T lymphocyte maturation.",['Abnormality of the thymus']
HP:0000778,Hypoplasia of the thymus,Underdevelopment of the thymus.,"['Thymic hypoplasia', 'Thymus hypoplasia', 'Small thymus']"
HP:0000782,Abnormal scapula morphology,"Any abnormality of the scapula, also known as the shoulder blade.",['Abnormality of the shoulder blade']
HP:0000786,Primary amenorrhea,,[]
HP:0000787,Nephrolithiasis,The presence of calculi (stones) in the kidneys.,"['Kidney stones', 'Renal stones', 'Renal calculi']"
HP:0000789,Infertility,,['Infertility']
HP:0000790,Hematuria,The presence of blood in the urine. Hematuria may be gross hematuria (visible to the naked eye) or microscopic hematuria (detected by dipstick or microscopic examination of the urine).,"['High urine occult blood', 'Blood in urine']"
HP:0000791,Uric acid nephrolithiasis,The presence of uric acid-containing calculi (stones) in the kidneys.,"['Uric acid urolithiasis', 'Uric acid stones']"
HP:0000793,Membranoproliferative glomerulonephritis,"A type of glomerulonephritis characterized by diffuse mesangial cell proliferation and the thickening of capillary walls due to subendothelial extension of the mesangium. The term membranoproliferative glomerulonephritis is often employed to denote a general pattern of glomerular injury seen in a variety of disease processes that share a common pathogenetic mechanism, rather than to describe a single disease entity","['MPGN', 'Mesangiocapillary glomerulonephritis']"
HP:0000794,IgA deposition in the glomerulus,The presence of immunoglobulin A deposits in the glomerulus.,['IgA nephropathy']
HP:0000795,Abnormality of the urethra,"An abnormality of the urethra, i.e., of the tube which connects the urinary bladder to the outside of the body.",['Urethra issue']
HP:0000796,Urethral obstruction,Obstruction of the flow of urine through the urethra.,[]
HP:0000798,Oligozoospermia,"Reduced count of spermatozoa in the semen, defined as a sperm count below 20 million per milliliter semen.","['Oligospermia', 'Low sperm count']"
HP:0000799,Renal steatosis,Abnormal fat accumulation in the kidneys.,['Fatty kidney']
HP:0000800,Cystic renal dysplasia,,"['Renal dysplasia, cystic', 'Renal cystic dysplasia', 'Bilateral cystic dysplasia']"
HP:0000802,Impotence,Inability to develop or maintain an erection of the penis.,"['Difficulty getting a full erection', 'Difficulty getting an erection']"
HP:0000803,Renal cortical cysts,Cysts of the cortex of the kidney.,['Cortical cysts']
HP:0000804,Xanthine nephrolithiasis,The presence of xanthine-containing calculi (stones) in the kidneys.,"['Urinary xanthine stones', 'Xanthine stones']"
HP:0000805,Enuresis,Lack of the ability to control the urinary bladder leading to involuntary urination at an age where control of the bladder should already be possible.,[]
HP:0000807,Glanular hypospadias,"A type of hypospadias in which the urethral meatus is located at the head of the penis, but not all the way at the tip.",['Balanic hypospadias']
HP:0000808,Penoscrotal hypospadias,A severe form of hypospadias in which the urethral opening is located at the junction of the penis and scrotum.,[]
HP:0000809,Urinary tract atresia,Congenital absence of the normal opening of a structure of the urinary tract.,[]
HP:0000811,Abnormal external genitalia morphology,A structural anomaly of the external genitalia.,['Abnormal external genitalia']
HP:0000812,Abnormal internal genitalia,"An anomaly of the adnexa, uterus, and vagina (in female) or seminal tract and prostate (in male).",['Abnormal internal genitalia']
HP:0000813,Bicornuate uterus,The presence of a bicornuate uterus.,"['Heart-shaped uterus', 'Uterus bicornis', 'Heart shaped uterus']"
HP:0000815,Hypergonadotropic hypogonadism,Reduced function of the gonads (testes in males or ovaries in females) associated with excess pituitary gonadotropin secretion and resulting in delayed sexual development and growth delay.,"['Primary hypogonadism', 'Hypergonadotrophic hypogonadism']"
HP:0000816,Abnormality of Krebs cycle metabolism,An abnormality of the tricarboxylic acid cycle.,"['Abnormality of the tricarboxylic cycle', 'Abnormality of citric acid cycle']"
HP:0000817,Reduced eye contact,A reduced frequency or duration of eye contact.,['Poor eye contact']
HP:0000818,Abnormality of the endocrine system,An abnormality of the endocrine system.,['Endocrine system disease']
HP:0000819,Diabetes mellitus,A group of abnormalities characterized by hyperglycemia and glucose intolerance.,[]
HP:0000820,Abnormality of the thyroid gland,An abnormality of the thyroid gland.,"['Thyroid abnormality', 'Abnormality of the thyroid gland', 'Thyroid disease']"
HP:0000821,Hypothyroidism,Deficiency of thyroid hormone.,"['Low T4', 'Underactive thyroid']"
HP:0000822,Hypertension,The presence of chronic increased pressure in the systemic arterial system.,"['Systemic hypertension', 'Arterial hypertension', 'High blood pressure']"
HP:0000823,Delayed puberty,Passing the age when puberty normally occurs with no physical or hormonal signs of the onset of puberty.,"['Pubertal delay', 'Delayed pubertal development', 'Delayed pubertal growth', 'Delayed puberty']"
HP:0000824,Decreased response to growth hormone stimulation test,Insufficient responses to growth hormone (GH) provocation tests. GH deficiency is defined as a serum peak GH concentration less than 10 ng/mL on provocation with a combination of at least two separate stimulation tests.,[]
HP:0000825,Hyperinsulinemic hypoglycemia,An increased concentration of insulin combined with a decreased concentration of glucose in the blood.,"['Hyperinsulinemia hypoglycemia', 'Hyperinsulinaemic hypoglycaemia']"
HP:0000826,Precocious puberty,"The onset of secondary sexual characteristics before a normal age. Although it is difficult to define normal age ranges because of the marked variation with which puberty begins in normal children, precocious puberty can be defined as the onset of puberty before the age of 8 years in girls or 9 years in boys.","['Early puberty', 'Early onset of puberty']"
HP:0000828,Abnormality of the parathyroid gland,An abnormality of the parathyroid gland.,['Parathyroid disease']
