id,name,definition,synonyms
HP:0030351,Urticarial plaque,"A well-circumscribed, intensely pruritic, raised wheal (edema of the superficial skin) typically 1 to 2 cm in diameter.",[]
HP:0030352,Abnormal serum insulin-like growth factor 1 level,An anomalous level of insulin-like growth factor 1 (IGF1) in the blood circulation.,[]
HP:0030353,Decreased serum insulin-like growth factor 1,A reduced level of insulin-like growth factor 1 (IGF1) in the blood circulation.,[]
HP:0030354,obsolete Abnormal circulating interferon concentration,,[]
HP:0030355,Abnormal circulating interferon-gamma concentration,Abnormal levels of interferon gamma measured in the blood circulation.,['Abnormal serum interferon-gamma level']
HP:0030356,Increased circulating interferon-gamma concentration,An elevation in the concentration of interferon gamma measured in the blood circulation.,['Increased serum interferon-gamma level']
HP:0030357,Small cell lung carcinoma,"Small cell lung cancer (SCLC) is a type of highly malignant lung cancer that is composed of small ovoid cells. In the past, SCLC was called oat cell carcinoma because the microscopic appearance of the cells was felt to resemble oats. SLCLC usually originates near the bronchi and in many cases may grow and metastasize quickly.","['Oat cell lung cancer', 'Oat cell carcinoma of lung', 'Small cell lung cancer']"
HP:0030358,Non-small cell lung carcinoma,,['Non-small cell lung cancer']
HP:0030359,Squamous cell lung carcinoma,A type of non-small cell lung carcinoma that is derived from stratified squamous epithelial cells.,[]
HP:0030360,Large cell lung carcinoma,"A type of non-small cell lung carcinoma that is derived from undifferentiated malignant neoplasms originating from transformed epithelial cells in the lung, and which is differentiate from small-cell lung carcinoma by the larger size of the anaplastic cells, a higher cytoplasmic-to-nuclear size ratio, and a lack of salt-and-pepper appearance of the chromatin.",[]
HP:0030361,Abnormal circulating eicosanoid concentration,"Any deviation from the normal concentration in the blood circulation of an icosanoid (also known as eicosanoids). These are signaling molecules derived from oxidation of 20-carbon fatty acids. Most are produced from arachidonic acid, a 20-carbon polyunsaturated fatty acid (5,8,11,14-eicosatetraenoic acid).",['Abnormality of icosanoid metabolism']
HP:0030362,Reduced muscle carnitine level,A reduction in the level of carnitine in muscle tissue.,[]
HP:0030363,Primary Caesarian section,Delivery by Caesarian section representing the first time the mother has delivered by Caesarian section.,[]
HP:0030364,Secondary Caesarian section,"Delivery by Caesarian section representing where the mother has already had a previous Cesarean delivery, and this is a repeat Cesarean birth.",[]
HP:0030365,Vaginal birth after Caesarean,Vaginal birth after Caesarean (VBAC) refers to the situation where the mother has had a previous Cesarean delivery but has now delivered vaginally.,[]
HP:0030366,Delivery by Odon device,The Odon device is an instrument for assisted vaginal deliveries that is applied on the head of the baby and used to apply traction to assist the birth process.,[]
HP:0030367,Finger hyperphalangy,"Hyperphalangy is a digit morphology in which increased numbers of phalanges are arranged linearly within a digit. That is, there is an accessory phalanx that is arranged linearly with the other phalanges.",[]
HP:0030368,Hyperphalangy of the 2nd finger,"An accessory phalanx of the index (second) finger that is arranged linearly with the other phalanges. Hyperphalangy of the index finger results from an accessory ossification center at the metacarpophalangeal joint, resulting in radial deviation of the index finger. Note that this term refers only to this type of hyperphalangy.",['Hyperphalangy of index finger']
HP:0030369,Induced vaginal delivery,"Vaginal delivery following induction of labor, a procedure used to stimulate uterine contractions during pregnancy before labor begins on its own.",[]
HP:0030370,Abnormal naive B cell proportion,"Abnormal increase or decrease of the naive B cell subpopulation, commonly characterized as CD27-IgM+, measured as percentage of total B cells in the blood, compared to a reference range for a given sex and age-group.",['Abnormal proportion of naive B cells']
HP:0030371,Increased naive B cell proportion,The proportion of naive B cellsin the blood circulation is above the upper limit of normal with respect to the reference range for a given sex and age-group.,['Increased proportion of naive B cells']
HP:0030372,Decreased naive B cell proportion,The proportion of naive B cellsin the blood circulation is below the lower limit of normal with respect to the reference range for a given sex and age-group.,['Decreased proportion of naive B cells']
HP:0030373,Abnormal memory B cell proportion,"A deviation of the normal proportion of memory B cells in circulation relative to total number of B cells. Memory B cells develop from naive B cells. Upon antigen rechallenge, memory B cells rapidly expand and differentiate into plasma cells under the cognate control of memory Th cells (Phase IV).",['Abnormal proportion of memory B cells']
HP:0030374,Decreased proportion of memory B cells,"A reduction in the normal proportion of memory B cells (CD19+/CD27+) in circulation relative to the total number of B cells. Memory B cells develop from naive B cells. Upon antigen rechallenge, memory B cells rapidly expand and differentiate into plasma cells under the cognate control of memory Th cells (Phase IV).",[]
HP:0030375,Increased proportion of memory B cells,"An elevation in the proportion of memory B cells (CD19+/CD27+) in circulation relative to the total number of B cells. Memory B cells develop from naive B cells. Upon antigen rechallenge, memory B cells rapidly expand and differentiate into plasma cells under the cognate control of memory Th cells (Phase IV).",[]
HP:0030376,Abnormal immature B cell proportion,"A deviation from normal proportion of immature B cells (CD19+/ CD21low) in circulation relative to total number of B cells. Immature B cells (IgM+) are still in final stages of development within the bone marrow. Naive B cells are those which have left the bone marrow, before they bind to the antigen for which they're specific (IgM+/IgD+).","['Abnormal proportion of immature B cells', 'Abnormal proportion of CD19+/CD21low B cells']"
HP:0030377,Increased immature B cell proportion,"An elevation in the proportion above normal of immature B cells (CD19+/ CD21low) in circulation relative to total number of B cells. Immature B cells (IgM+) are still in final stages of development within the bone marrow. Naive B cells are those which have left the bone marrow, before they bind to the antigen for which they're specific (IgM+/IgD+).","['Increased proportion of CD19+/CD21low B cells', 'Increased proportion of immature B cells']"
HP:0030378,Decreased immature B cell proportion,"A reduction in normal proportion of immature B cells (CD19+/ CD21low)in circulation relative to total number of B cells. Immature B cells (IgM+) are still in final stages of development within the bone marrow. Naive B cells are those which have left the bone marrow, before they bind to the antigen for which they're specific (IgM+/IgD+).","['Decreased proportion of CD19+/CD21low B cells', 'Decreased proportion of immature B cells']"
HP:0030379,Abnormal transitional B cell proportion,"Abnormal increase or decrease of the transitional B cell subpopulation, commonly characterized as CD27-CD24hiCD38hi or CD27-IgMhiCD38hi, measured as percentage of total B cells in the blood, compared to a reference range for a given sex and age-group.","['Abnormal proportion of transitional B cells', 'Abnormal proportion of CD19+CD38+IgM+ cells']"
HP:0030380,Decreased transitional B cell proportion,"Abnormal decrease of the transitional B cell subpopulation, commonly characterized as CD27-CD24hiCD38hi or CD27-IgMhiCD38hi, measured as percentage of total B cells in the blood, compared to a reference range for a given sex and age-group.","['Decreased proportion of transitional B cells', 'Decreased proportion of CD19+CD38+IgM+ cells']"
HP:0030381,Increased transitional B cell proportion,"Abnormal increase of the transitional B cell subpopulation, commonly characterized as CD27-CD24hiCD38hi or CD27-IgMhiCD38hi, measured as percentage of total B cells in the blood, compared to a reference range for a given sex and age-group.","['Increased proportion of transitional B cells', 'Increased proportion of CD19+CD38+IgM+ cells']"
HP:0030383,Abnormal proportion of marginal zone B cells,A deviation of the normal proportion of marginal zone B cells (CD19+/CD27+/IgM+/IgD+) in circulation relative to the total number of B cells.,[]
HP:0030384,Decreased proportion of marginal zone B cells,A reduction in the normal proportion of marginal zone B cells (CD19+/CD27+/IgM+/IgD+) in circulation relative to the total number of B cells.,[]
HP:0030385,Increased proportion of marginal zone B cells,An elevation in the normal proportion of marginal zone B cells (CD19+/CD27+/IgM+/IgD+) in circulation relative to the total number of B cells.,[]
HP:0030386,Abnormal class-switched memory B cell proportion,"A deviation of the normal proportion of class-switched memory B cells (CD19+/CD27+/IgM-/IgD-) in circulation relative to the total number of B cells. Marginal zone B cells undergo limited somatic hypermutation and produce high-affinity IgM and some IgG, whereas class-switched memory B cells synthetize IgG, IgM, and IgA.","['Abnormal proportion of class-switched memory B cells', 'Abnormal proportion of CD19+CD27+IgD- cells']"
HP:0030387,Increased class-switched memory B cell proportion,"An increase in the normal proportion of class-switched memory B cells (CD19+/CD27+/IgM+/IgD+) relative to the total number of B cells. Marginal zone B cells undergo limited somatic hypermutation and produce high-affinity IgM and some IgG, whereas class-switched memory B cells synthetize IgG, IgM, and IgA.",['Increased proportion of CD19+CD27+IgD- cells']
HP:0030388,Decreased class-switched memory B cell proportion,"A reduction in the normal proportion of class-switched memory B cells (CD19+/CD27+/IgM+/IgD+) relative to the total number of B cells. Marginal zone B cells undergo limited somatic hypermutation and produce high-affinity IgM and some IgG, whereas class-switched memory B cells synthetize IgG, IgM, and IgA.","['Decreased proportion of class-switched memory B cells', 'Decreased proportion of CD19+CD27+IgD- cells']"
HP:0030389,Abnormal circulating thromboxane concentration,"Any deviation from the normal concentration in the blood circulation of a thromboxane. Thromboxanes are derived from prostaglandin precursors in platelets, and stimulate aggregation of platelets and constriction of blood vessels.",[]
HP:0030390,Reduced circulating leukotriene C4 concentration,An abnormally decreased concentration of leukotriene C4 in the blood circulation.,[]
HP:0030391,Spoken word recognition deficit,"Reduced ability of lexical discrimination, which refers to the process of distinguishing a stimulus word from other phonologically similar words. Lexical discrimination can be defined as the process of correctly identifying words in the mental lexicon to match the phonological input of a stimulus.",[]
HP:0030392,Choroid plexus carcinoma,"Intraventricular papillary neoplasm derived from choroid plexus epithelium. Plexus tumors are most common in the lateral and fourth ventricles; while 80% of lateral ventricle tumors present in children, fourth ventricle tumors are evenly distributed in all age groups. Clinically, choroid plexus tumors tend to cause hydrocephalus and increased intracranial pressure. Histologically, choroid plexus papillomas correspond to WHO grade I, choroid plexus carcinomas to WHO grade III.",[]
HP:0030393,Endolymphatic sac tumor,"A low-grade papillary epithelial neoplasm (adenocarcinoma) with a slow growth pattern. The endolymphatic duct emerges from the posterior wall of the saccule (of the inner ear) and ends in a blind pouch, the endolymphatic sac. Endolymphatic sac tumors (ELSTs) are known under different names in the literature (Heffner tumor, aggressive papillary middle ear tumor, and low-grade adenocarcinoma of endolymphatic sac origin).","['Heffner tumour', 'Endolymphatic sac tumour', 'Aggressive papillary middle ear tumor', 'Heffner tumor', 'Low-grade adenocarcinoma of endolymphatic sac origin', 'Aggressive papillary middle ear tumour']"
HP:0030394,Fallopian tube carcinoma,Carcinoma that originates in the Fallopian tube. It may be located in the wall or within the lumen as a growth attached to the wall by a stalk.,[]
HP:0030396,Abnormal platelet granule secretion,"Platelets are replete with secretory granules, which are critical to normal platelet function. Among the three types of platelet secretory granules - alpha-granules, dense granules, and lysosomes - the alpha-granule is the most abundant. Granule contents must be released from their intracellular repository in order to achieve their physiologic function, and this term refers to a functional defect in granule secretion.",[]
HP:0030397,Abnormal platelet dense granule secretion,Abnormal release of dense granules from platelets.,[]
HP:0030398,Abnormal platelet ATP dense granule secretion,Abnormal secretion of the platelet dense-granule content adenosine triphosphate (ATP).,[]
HP:0030399,Abnormal platelet alpha granule secretion,Abnormal release of alpha granule contents from platelets.,[]
HP:0030400,Abnormal platelet lysosome secretion,Abnormal release of lysosome contents from platelets.,[]
HP:0030401,Abnormal platelet dense granule ATP/ADP ratio,Deviation from normal of the ratio of adenosine triphosphate (ATP) to adenosine diphosphate (ADP) within platelets.,[]
HP:0030402,Abnormal platelet aggregation,"An abnormality in the rate and degree to which platelets aggregate after the addition of an agonist that stimulates platelet clumping. Platelet aggregation is measured using aggregometer to measure the optical density of platelet-rich plasma, whereby platelet aggregation causes the plasma to become more transparent.",[]
HP:0030403,Spontaneous platelet aggregation,Clumping together of platelets in the blood in a platelet aggregation test without addition of agents normally used to induce aggregation.,[]
HP:0030404,Glucagonoma,An endocrine tumor of the pancreas that secretes excessive amounts of glucagon.,[]
HP:0030405,Pancreatic endocrine tumor,A neuroendocrine tumor originating in a hormone-producing cell (islet cell) of the pancreas.,['Pancreatic endocrine tumour']
HP:0030406,Primary peritoneal carcinoma,"A type of cancer that originates in the peritoneum. It is to be distinguished from metastatic cancer of the peritoneum. Peritoneal cancer can occur anywhere in the abdominal space, and affects the surface of organs contained inside the peritoneum.",[]
HP:0030407,Pineocytoma,A type of pineal parenchymal cell neoplasm that is a mature well-differentiated tumor (WHO grade I).,[]
HP:0030408,Pineoblastoma,"Pineoblastoma is a rare primitive neuroectodermal tumor (PNET) arising in the pineal gland. Pineoblastomas are classified as a WHO grade IV tumor and comprise one-fourth to one-half of pineal parenchymal tumors. Pineoblastoma is a highly cellular tumor originating in the pineal gland and containing small, poorly differentiated cells.",['Pinealoblastoma']
HP:0030409,Renal transitional cell carcinoma,A malignant tumor that arises from the transitional (urothelial) epithelial cells lining the urinary tract from the renal calyces to the ureteral orifice.,"['renal TCC', 'Renal urothelial carcinoma', 'Transitional renal cell carcinoma']"
HP:0030410,Sebaceous gland carcinoma,"A carcinoma that arises in a sebaseous gland (an exocrine gland of the skin that secretes sebum, a waxy substance)",['Sebaceous carcinoma']
HP:0030411,Jejunal adenocarcinoma,A malignant epithelial tumor with a glandular organization that originates in the jejunum.,[]
HP:0030412,Ileal adenocarcinoma,A malignant epithelial tumor with a glandular organization that originates in the ileum.,[]
HP:0030413,Squamous cell carcinoma of the tongue,A carcinoma derived from a squamous epithelial cell of the tongue.,[]
HP:0030414,Verrucous cell carcinoma of the tongue,A low-grade variant of squamous cell carcinoma of the tongue with a warty (verrucous) appearance.,[]
HP:0030415,Sarcomatoid carcinoma of the tongue,"Sarcomatoid (spindle cell) carcinomas of the tongue is a variant of squamous carcinoma of tongue that is monoclonal, having evolved from a conventional squamous carcinoma with dedifferentiation associated with sarcomatoid transformation.",['Spindle cell carcinoma of the tongue']
HP:0030416,Vulvar neoplasm,A tumor (abnormal growth of tissue) of the female external genital tract (vulva).,"['Tumour of the vulva', 'Neoplasm of the vulva', 'Tumor of the vulva']"
HP:0030417,Squamous cell carcinoma of the vulva,A cancer that originates in the squamous cells that line the surface of the vulva.,['Vulval squamous cell carcinoma']
HP:0030418,Vulvar melanoma,A type of vulvar cancer that originates from melanocytes of the vulva.,[]
HP:0030419,Bartholin gland carcinoma,"A cancer arising in a cell of the Bartholin gland, a racemose gland located slightly posterior to the opening of the vagina.",[]
HP:0030420,Vulvar adenocarcinoma,An adenocarcinoma arising in the vulva.,[]
HP:0030421,Epididymal neoplasm,"A tumor (abnormal growth of tissue) of the epididymis, an duct that transports spermatozoa from the testis to the vas deferens.",[]
HP:0030422,obsolete Papillary cystadenoma of the epididymis,,[]
HP:0030423,Splenic cyst,A closed sac located in the spleen.,['Cyst on spleen']
HP:0030424,Epididymal cyst,"A smooth, extratesticular, spherical cyst in the head of the epididymis.",['Epididymal cysts']
HP:0030425,Calcified ovarian cyst,A cyst of the ovary that exhibits deposition of calcium salts.,[]
HP:0030426,Ossifying fibroma,A benign central bone tumor composed of fibrous connective tissue within which bone is formed.,[]
HP:0030427,Ossifying fibroma of the jaw,A benign central bone tumor of the jaw composed of fibrous connective tissue within which bone is formed.,[]
HP:0030428,Cutaneous myxoma,A myxoma originating in the skin.,[]
HP:0030429,Juvenile nasopharyngeal angiofibroma,A benign but highly vascular nasopharyngeal neoplasm. The tumor originates from the sphenopalatine foramen and involves both the pterygopalatine fossa and the posterior nasal cavity.,[]
HP:0030430,Neuroma,A tumor made up of nerve cells and nerve fibers.,"['Nerve tumour', 'Pinched nerve', 'Nerve tumor']"
HP:0030431,Osteochondroma,A cartilage capped bony outgrowth of a long bone. Osteochondroma arises on the external surface of bone containing a marrow cavity that is continuous with that of the underlying bone.,"['Osteocartilaginous exostoses', 'Osteochondromas']"
HP:0030432,Chondroblastoma,A usually benign tumor composed of cells which arise from chondroblasts or their precursors and which tend to differentiate into cartilage cells.,[]
HP:0030433,Osteoid osteoma,A bening tumor of bone composed of a central zone named nidus which is an atypical bone completely enclosed within a well vascularized stroma and a peripheral sclerotic reaction zone.,[]
HP:0030434,Pilomatrixoma,"Pilomatricoma is an asymptomatic slowly growing benign cutaneous tumor, differentiating towards the hair matrix of the hair follicle. It is covered by normal or hyperemic skin, and usually varies in size from 0.5 to 3 cm.",[]
HP:0030436,Fibrofolliculoma,"Fibrofolliculoma is a clinically asymptomatic, 2-4 mm, skin-colored, dome-shaped smooth papule. It usually arises in the form of multiple lesions in adults in different areas such as the scalp, forehead, face, and neck. According to histology, the lesion is a fibrotic hamartoma characterized by infundibular epithelial proliferation and perifollicular fibrous proliferation.",['Fibrofolliculomas']
HP:0030437,Anal canal neoplasm,,"['Anal canal tumour', 'Anal canal tumor']"
HP:0030438,Anal canal squamous cell carcinoma,A squamous cell carcinoma that originates in the anal canal.,[]
HP:0030439,Anal canal adenocarcinoma,An adenoma carcinoma that originates in the anal canal.,[]
HP:0030440,Anal margin neoplasm,A tumor of the anal margin.,[]
HP:0030441,Anal margin Paget's disease,"An intraepithelial adenocarcinoma originating in the anal margin and characterized by presence of typical Paget's cells, appearing as large rounded vacuolated cells.",[]
HP:0030442,Anal margin squamous cell carcinoma,A squamous cell carcinoma that originates in the skin of the anal margin.,[]
HP:0030443,Anal margin basal cell carcinoma,A basal cell carcinoma that originates in the anal margin.,[]
HP:0030444,Anal margin melanoma,A melanoma that originates in the anal margin.,[]
HP:0030445,Pulmonary carcinoid tumor,"A malignant neuroendocrine tumor of the lung. According to histopathologic criteria (WHO 2004), carcinoids are divided into four groups i.e. typical and atypical carcinoids, large cell neuroendocrine carcinoma and small cell lung carcinoma.","['Lung carcinoid tumor', 'Pulmonary carcinoid tumour', 'Lung carcinoid tumour']"
HP:0030446,Atypical pulmonary carcinoid tumor,,['Atypical pulmonary carcinoid tumour']
HP:0030447,Merkel cell skin cancer,"A malignant cutaneous tumor of the elderly that is characterized by an aggressive course with regional nodal involvement, distant metastases and a high rate of recurrence. Most patients present with rapidly growing, painless, firm, non-tender, dome-shaped red, occasionally ulcerated skin nodules, which have a red or bluish color, measuring up to several centimeters, on predominantly sun-exposed areas of the body. The overlying skin is smooth and shiny, sometimes exhibiting ulcerative, acneiform or telangiectatic features.","['Primary undifferentiated carcinoma of the skin', 'Merkel cell cancer of the skin', 'Neuroendocrine tumour of the skin', 'Neuroendocrine carcinoma of the skin', 'Cutaneous APUDoma', 'Anaplastic carcinoma of the skin', 'Neuroendocrine tumor of the skin', 'Primary small cell carcinoma of the skin']"
HP:0030448,Soft tissue sarcoma,"A type of sarcoma (A connective tissue neoplasm formed by proliferation of mesodermal cells) that develops from soft tissues like fat, muscle, nerves, fibrous tissues, blood vessels, or deep skin tissues.",['Soft tissue sarcomas']
HP:0030449,Therapeutic abortion,Delivery by means of therapeutic termination of pregnancy. Therapeutic abortion may be done to end a pregnancy if the mother's life is in danger or if the baby has abnormalities involving the major organ systems and is not expected to survive after birth or by choice.,[]
HP:0030450,Neoplasm of the autonomic nervous system,A tumor that arises from an element of the autonomic nervous system.,[]
HP:0030451,Mesenteric cyst,A closed fluid filled sac originating from the mesentary.,[]
HP:0030452,Chylolymphatic mesenteric cyst,A type of mesenteric cyst that is lined with a thin endothelium or mesothelium and filled with chylous and lymphatic fluid.,[]
HP:0030453,Abnormal visual electrophysiology,,[]
HP:0030454,Abnormal electrooculogram,The clinical electro-oculogram (EOG) is an electrophysiological test of function of the outer retina and retinal pigment epithelium (RPE) in which changes in electrical potential across the RPE are recorded during successive periods of dark and light adaptation.,['Abnormal EOG']
HP:0030455,Abnormality of pattern visual evoked potentials,,[]
HP:0030456,Abnormality of pattern onset/offset visual evoked potentials,,['Abnormality of pattern onset/offset VEP']
HP:0030457,Abnormal amplitude of pattern onset/offset visual evoked potentials,,['Abnormal amplitude of pattern onset/offset VEP']
HP:0030458,Abnormal timing of pattern onset/offset visual evoked potentials,,[]
HP:0030460,Abnormal timing of pattern reversal visual evoked potentials,,[]
HP:0030461,Abnormal timing of flash visual evoked potentials,,[]
HP:0030462,Abnormal amplitude of flash visual evoked potentials,,[]
HP:0030463,Asymmetrical distribution of flash visual evoked potentials,,['Crossed asymmetry of flash visual evoked potentials']
HP:0030464,Asymmetrical distribution of pattern reversal visual evoked potentials,,['Crossed asymmetry of pattern reversal visual evoked potentials']
HP:0030465,Undetectable light-adapted electroretinogram,No detectable response to the light-adapted 3.0 ERG (single-flash cone response). This type of ERG measures responses of the cone system; a-waves arise from cone photoreceptors and cone off-bipolar cells; the b-wave comes from On- and Off-cone bipolar cells.,"['Absent photopic (cone) responses on ERG', 'non-detectable photopic ERG']"
HP:0030466,Abnormal full-field electroretinogram,,[]
HP:0030467,Abnormal pattern electroretinogram,"An anomalous response to a pattern electroretinogram (PERG), a particular kind of ERG obtained in response to contrast modulation of patterned visual stimuli at constant mean luminance-typically contrast-reversing gratings or checkerboards-whose characteristics are fundamentally different from those of the traditional ERG in response to diffuse flashes of light.",[]
HP:0030468,Abnormal multifocal electroretinogram,,[]
HP:0030469,Abnormal dark-adapted electroretinogram,,[]
HP:0030470,Abnormal dark-adapted bright flash electroretinogram,,[]
HP:0030471,Abnormal dark-adapted dim flash electroretinogram,,[]
HP:0030472,Abnormal light-adapted single flash electroretinogram,,[]
HP:0030473,Abnormal light-adapted flicker electroretinogram,,"['Abnormal light adapted flicker electroretinogram', 'Abnormal light-adapted 30Hz flicker electroretinogram', 'Abnormal light-adapted 30Hz flicker ERG', 'Abnormal light-adapted flicker ERG']"
HP:0030474,Undetectable dark-adapted electroretinogram,,[]
HP:0030475,Abnormal timing of dark-adapted dim flash electroretinogram,,[]
HP:0030476,Abnormal amplitude of dark-adapted dim flash electroretinogram,,[]
HP:0030477,Abnormal timing of dark-adapted bright flash electroretinogram,,[]
HP:0030478,Abnormal amplitude of dark-adapted bright flash electroretinogram,,[]
HP:0030479,Abnormal amplitude of light-adapted flicker electroretinogram,,[]
HP:0030480,Abnormal timing of light-adapted flicker electroretinogram,,[]
HP:0030481,Abnormal amplitude of light-adapted single flash electroretinogram,,[]
HP:0030482,Abnormal timing of light-adapted single flash electroretinogram,,[]
HP:0030483,Reduced amplitude of dark-adapted bright flash electroretinogram a-wave,An abnormal reduction in the amplitude of the a-wave.,[]
HP:0030484,Supernormal dark-adapted bright flash electroretinogram b-wave,,[]
HP:0030485,Abnormal amplitude of pattern electroretinogram,,[]
HP:0030486,Abnormal timing of pattern electroretinogram,,[]
HP:0033653,Bronchocele,"A bronchocele is bronchial dilatation due to retained secretions (mucoid impaction) usually caused by proximal obstruction, either congenital (eg, bronchial atresia) or acquired (eg, obstructing cancer). A bronchocele is a tubular or branching Y-or V-shaped structure that may resemble a gloved finger. The CT attenuation of the mucus is generally that of soft tissue but may be modified by its composition (eg, high-attenuation material in allergic bronchopulmonary aspergillosis). In the case of bronchial atresia, the surrounding lung may be of decreased attenuation because of reduced ventilation and, thus, perfusion.",[]
HP:0033654,Beaded septum sign,Irregular and nodular thickening of interlobular septa reminiscent of a row of beads.,[]
HP:0033655,Pulmonary cavity,"A gas-filled space, seen as lucency or low-attenuation area, within a nodule, mass or area of parenchymal consolidations. It has a clearly defined wall over 4 mm thick.","['Pulmonary cavitation', 'Pulmonary cavern']"
HP:0033656,Juxtaphrenic peak,"A juxtaphrenic peak is a small triangular opacity based at the apex of the dome of a hemidiaphragm, associated with upper lobe volume loss of any cause (eg, postirradiation fibrosis or upper lobectomy). It is most readily appreciated on a frontal chest radiograph. The peak is caused by upward retraction of the inferior accessory fissure or an intrapulmonary septum associated with the pulmonary ligament.",[]
HP:0033657,Linear atelectasis,"Linear atelectasis is a focal area of subsegmental atelectasis with a linear configuration, almost always extending to the pleura. It is commonly horizontal but sometimes oblique or vertical. The thickness of the atelectasis may range from a few millimeters to more than 1 cm.","['Discoid atelectasis', 'Platelike atelectasis']"
HP:0033658,Rounded atelectasis,"Rounded atelectasis is rounded collapsed lung associated with invaginated fibrotic pleura and thickened and fibrotic interlobular septa. Most frequently, it is the consequence of an asbestos-induced exudative pleural effusion with resultant pleural scarring, but it may occur with any cause of pleural fibrosis. On chest radiographs, rounded atelectasis appears as a mass abutting a pleural surface, usually in the posterior part of a lower lobe. Distorted vessels have a curvilinear disposition as they converge on the mass (the comet tail sign). The degree of lobar retraction depends on the volume of atelectatic lung. It is almost invariably associated with other signs of pleural fibrosis (eg, blunting of costophrenic angle). CT is more sensitive for the detection and display of the characteristic features of rounded atelectasis. An additional sign is homogeneous uptake of contrast medium in the atelectatic lung.","['Helical atelectasis', 'Pleural pseudotumor', 'Folded lung syndrome', 'Comet tail sign', 'Blesovsky syndrome', 'Pleuroma']"
HP:0033659,obsolete Crazy-paving pattern,,[]
HP:0033660,Hand paresthesia,Tingling (often referred to as a pins and needles feeling) and numbness in the hand.,['Hand tingling']
HP:0033661,Air crescent,"An air crescent is a collection of air in a crescentic shape that separates the wall of a cavity from an inner mass. The air crescent sign is often considered characteristic of either Aspergillus colonization of preexisting cavities or retraction of infarcted lung in angioinvasive aspergillosis. However, the air crescent sign has also been reported in other conditions, including tuberculosis, Wegener granulomatosis, intracavitary hemorrhage, and lung cancer.",[]
HP:0033662,Air bronchogram,"An air bronchogram is a pattern of air-filled (low-attenuation) bronchi on a background of opaque (high-attenuation) airless lung. The sign implies (a) patency of proximal airways and (b) evacuation of alveolar air by means of absorption (atelectasis) or replacement (eg, pneumonia) or a combination of these processes. In rare cases, the displacement of air is the result of marked interstitial expansion (eg, lymphoma).",[]
HP:0033663,Air trapping,Air trapping is retention of air in the lung distal to an obstruction (usually partial). Air trapping is seen on end-expiration CT scans as parenchymal areas with less than normal increase in attenuation and lack of volume reduction. Comparison between inspiratory and expiratory CT scans can be helpful when air trapping is subtle or diffuse.,[]
HP:0033664,Ganglioglioma,Gangliogliomas are rare tumors of the central nervous system. The are WHO grade I and considered low grade. They are well differentiated neuroepithelial tumors consisting of both dysplastic neuronal and neoplastic glial cells.,[]
HP:0033665,Diminished health-related quality of life,A reduction in an individual's subjective assessment of his or her sense of well-being and ability to perform social roles.,[]
HP:0033666,Diminished physical functioning,A reduction in the ability to perform activities of daily living as compared to previous abilities because of functional deficits due to illness. The 36-item Short Form (SF-36) health survey questionnaire is one of many methods used to measure patients' perceptions of diminished physical functioning.,"['Diminished physical health', 'Decline in physical functional health']"
HP:0033667,Diminished mental health,A reduction in the subjective feeling of mental well being.,"['Reduced mental health', 'Mental impairment']"
HP:0033668,Abnormal amygdala morphology,A structural anomaly of the amygdala.,['Abnormal morphology of the amygdala']
HP:0033669,Enlarged amygdala,A increase in the volume (size) of the amygdyla.,['Amygdalar enlargement']
HP:0033670,Organizing pneumonia,"Organizing pneumonia manifests as a histologic pattern characterized by loose plugs of connective tissue in the airspaces and distal airways. Interstitial inflammation and fibrosis are minimal or absent. Cryptogenic organizing pneumonia, or COP, is a distinctive clinical disorder among the idiopathic interstitial pneumonias, but the histologic pattern of organizing pneumonia is encountered in many different situations, including pulmonary infection, hypersensitivity pneumonitis, and collagen vascular diseases. Airspace consolidation is the cardinal feature of organizing pneumonia on chest radiographs and CT scans. In COP, the distribution is typically subpleural and basal and sometimes bronchocentric. Other manifestations of organizing pneumonia include groundglass opacity, tree-in-bud pattern, and nodular opacities.",[]
HP:0033671,Pulmonary oligemia,"Oligemia is a reduction in pulmonary blood volume. Most frequently, this reduction is regional, but occasionally it is generalized. Regional oligemia is usually associated with reduced blood flow in the oligemic area. Oligemia appears as a regional or widespread decrease in the size and number of identifiable pulmonary vessels, which is indicative of less than normal blood flow.",[]
HP:0033672,Positive carpal Tinel sign,"The Tinel test is performed by lightly tapping (percussing) over the median nerve. It is positive (abnormal) if the patient experiences pain and paresthesias (tingling, numbness) along the distribution of the median nerve.",['Positive carpal Hoffmann Tinel sign']
HP:0033673,Positive Phalen test,"The Phalen maneuver is performed by having the patient hold both wrists in complete and forced flexion (pushing the dorsal surfaces of both hands together) for 30-60 seconds. This can increase the pressure in the carpal tunnel. The test is positive (abnormal) if the patient experiences characteristic symptoms of carpal tunnel syndrome (pain and paresthesias along the distribution of the median nerve, i.e., thumb, index finger, and middle finger).","['Phalen manoeuvre', 'Phalen maneuver']"
HP:0033674,Pulmonary blood flow redistribution,"Pulmonary blood flow redistribution refers to any departure from the normal distribution of blood flow in the lungs that is caused by an increase in pulmonary vascular resistance elsewhere in the pulmonary vascular bed. Pulmonary blood flow redistribution is indicated by a decrease in the size and/or number of visible pulmonary vessels in one or more lung regions, with a corresponding increase in number and/or size of pulmonary vessels in other parts of the lung.",[]
